episode,episode_action_type,episode_return,average_episode_return_noise_actions,average_episode_return_actor_actions,episode_grasp_success,#timesteps,#episodes,duration_episode,average_episode_duration
7654,simple,1.1230461875030588,nan,nan,True,15,15001,9.498,9.883578512
7655,simple,0.12237202657307669,nan,nan,False,15,15001,9.296,9.881160493
7656,simple,0.13593177391862135,nan,nan,False,16,15001,10.998,9.885737704
7657,simple,1.1212321923800999,nan,nan,True,15,15001,10.797,9.889457142
7658,simple,1.1217751229062467,nan,nan,True,15,15001,9.497,9.887861788
7659,simple,1.119926756778468,nan,nan,True,15,15001,9.629,9.886813765
7660,simple,1.1219723734681912,nan,nan,True,15,15001,9.366,9.884713709
7661,simple,1.125145083254914,nan,nan,True,15,15001,9.396,9.882751004
7662,simple,0.1229605982925672,nan,nan,False,15,15001,9.167,9.879888
7663,simple,0.12119270673809335,nan,nan,False,15,15001,9.474,9.878270916
7664,simple,0.1208667655429444,nan,nan,False,15,15001,9.652,9.877373015
7665,simple,0.13467406732803333,nan,nan,False,16,15001,11.03,9.881928853
7666,simple,0.137534469175683,nan,nan,False,16,15001,10.866,9.885803149000001
7667,simple,1.1219662133292896,nan,nan,True,15,15001,10.427,9.88792549
7668,simple,1.137183913415491,nan,nan,True,16,15001,10.367,9.889796875
7669,simple,1.1375236180824486,nan,nan,True,16,15001,10.133,9.89074319
7670,simple,1.1217876914739484,nan,nan,True,15,15001,9.427,9.888945736
7671,simple,1.1216176869238084,nan,nan,True,15,15001,9.335,9.886806949
7672,simple,0.12504393320318494,nan,nan,False,15,15001,9.394,9.884911538
7673,simple,0.12224249623359854,nan,nan,False,15,15001,10.429,9.886996168
7674,simple,1.1210804346786722,nan,nan,True,15,15001,9.463,9.885377862
7675,simple,0.1232401918286727,nan,nan,False,15,15001,9.505,9.883931558
7676,simple,1.12546726974759,nan,nan,True,15,15001,9.322,9.88180303
7677,simple,0.1236775689759017,nan,nan,False,15,15001,9.197,9.879218867
7678,simple,1.12099404995842,nan,nan,True,15,15001,10.597,9.881917293
7679,simple,1.123394816737208,nan,nan,True,15,15001,9.401,9.880116104
